fecha,empresa,close_last,close_vwap,volume_shares_day,turnover_value_day,n_trades_day,ret_lag_1,ret_lag_2,ret_lag_3,mom_3,mom_5,mom_10,vol_5,vol_10,regime_vol_ratio,ma_5,ma_10,ma_gap,price_vs_ma10,rsi_14,turnover_log1p,volume_log1p,avg_trade_size_log1p,amihud_5,days_since_trade,ret_fwd_h1,ret_fwd_h5,ret_fwd_h20,target_up_h1,target_up_h5,target_up_h20,target_up_h20_thr003
2024-01-04,CORPORACION FAVORITA C.A.,1.7,1.6978740490278952,18928.0,32137.36,6.0,0.0,-0.01749315744751723,0.023392879574705594,0.005899722127188339,4.2500725161431774e-17,-0.01169603976319136,0.020654749723493397,0.014769433992355792,1.3984794361642556,1.7100000000000002,1.714,-0.0039999999999997815,-0.008168028005246186,43.99726028218778,10.37780561123166,9.84845041660622,8.056955057460614,8.54096867726064e-07,1.0,-0.011834457647002796,-0.005899722127188271,-0.011834457647002796,0.0,0.0,0.0,0.0
2024-01-05,CORPORACION FAVORITA C.A.,1.68,1.6967128941720324,12114.0,20553.98,12.0,0.0,0.0,-0.01749315744751723,-0.017493157447517255,-0.017493157447517078,-0.017493157447517275,0.018297964883971753,0.014578133280556118,1.2551651525316943,1.704,1.7109999999999999,-0.006999999999999895,-0.00642898889596355,45.82023537709788,9.930858526332235,9.402199633250627,6.918200536843592,8.055969875745105e-07,1.0,0.011834457647002798,0.0059347355198145265,0.0,1.0,1.0,0.0,
2024-01-08,CORPORACION FAVORITA C.A.,1.7,1.6943401080524827,11661.0,19757.7,8.0,-0.011834457647002796,0.0,0.0,-0.01183445764700282,-0.005934735519814412,-0.023530497410194112,0.01570228918773454,0.014886153778203673,1.0548251362061722,1.702,1.707,-0.0050000000000001155,-0.01581722319917067,39.95285542800055,9.891349179663953,9.364090971782101,7.285249490126146,6.004761974723811e-07,3.0,0.0,-0.017804624633506707,-0.005899722127188271,0.0,0.0,0.0,0.0
2024-01-09,CORPORACION FAVORITA C.A.,1.7,1.692475865985236,3522.0,5960.900000000001,5.0,0.011834457647002798,-0.011834457647002796,0.0,-2.2551405187698492e-17,-0.017493157447517206,-0.017493157447517227,0.011455536015223257,0.01536805257024555,0.7454123391442048,1.6959999999999997,1.704,-0.00800000000000023,-0.0023474178409611524,47.993547098434846,8.69314450120235,8.167068178341237,6.558765017801752,5.771645027765085e-07,1.0,0.0,-0.011834457647002796,-0.011834457647002796,0.0,0.0,0.0,0.0
2024-01-10,CORPORACION FAVORITA C.A.,1.7,1.6907446496628555,13644.0,23068.52,12.0,0.0,0.011834457647002798,-0.011834457647002796,-2.2551405187698492e-17,2.42861286636753e-17,-0.00586511945239813,0.00836822525386069,0.014972356690209746,0.5589116948284878,1.6960000000000002,1.7029999999999998,-0.006999999999999673,-0.0017615971820306164,45.83253229475462,10.046267544709474,9.521128433142438,7.037027614686193,2.349391394841233e-07,1.0,-0.005899722127188271,-0.011834457647002796,0.0,0.0,0.0,0.0,
2024-01-11,CORPORACION FAVORITA C.A.,1.69,1.684533648170012,6776.0,11414.400000000001,7.0,0.0,0.0,0.011834457647002798,0.011834457647002774,2.42861286636753e-17,4.336808689942018e-18,0.00836822525386069,0.014857035445868014,0.5632500025854607,1.6960000000000002,1.703,-0.006999999999999895,-0.0017615971820308385,43.498339465797244,9.342718599961866,8.821289805136113,6.876264611890623,2.349391394841233e-07,1.0,0.0,-0.011904902506318427,0.0,0.0,0.0,0.0,
2024-01-12,CORPORACION FAVORITA C.A.,1.69,1.689730283069254,11234.0,18982.43,12.0,-0.005899722127188271,0.0,0.0,-0.005899722127188295,-0.0058997221271882465,-0.023392879574705386,0.008774311262712232,0.01358371984060639,0.6459431853001611,1.6939999999999997,1.6989999999999998,-0.0050000000000001155,-0.005297233667448276,43.46518868083565,9.851321772380382,9.326789184619429,6.8428611390640635,3.3830340402480114e-07,1.0,-0.011904902506318427,0.005899722127188322,-0.005934735519814578,0.0,1.0,0.0,0.0
2024-01-15,CORPORACION FAVORITA C.A.,1.67,1.6732175638799305,8062.0,13489.48,5.0,0.0,-0.005899722127188271,0.0,-0.005899722127188295,0.00593473551981455,7.546047120499111e-17,0.006477207960199935,0.01139275046810103,0.5685376834827695,1.6960000000000002,1.6989999999999998,-0.0029999999999996696,-0.005297233667448276,40.921300515343525,9.509739530481308,8.995040974685022,7.386099032502674,2.2315410544117036e-07,3.0,0.005970166986503754,0.011904902506318458,0.005970166986503754,1.0,1.0,1.0,1.0
2024-01-16,CORPORACION FAVORITA C.A.,1.68,1.6707113938692888,62244.0,103991.76000000001,10.0,-0.011904902506318427,0.0,-0.005899722127188271,-0.01780462463350672,-0.017804624633506676,-0.035297782081023944,0.005318187971362227,0.008419946001146929,0.6316178239155201,1.69,1.693,-0.0030000000000001137,-0.013585351447717997,40.83354905144042,11.552076560315632,11.038833489815886,8.736392976296527,2.798576510816821e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-01-17,CORPORACION FAVORITA C.A.,1.68,1.6925293753865185,4851.0,8210.460000000001,8.0,0.005970166986503754,-0.011904902506318427,0.0,-0.0059347355198146965,-0.011834457647002921,-0.01183445764700296,0.006785378418886828,0.007289868582318406,0.9307957120672907,1.686,1.691,-0.0050000000000001155,-0.006505026612060094,45.42066086203313,9.013286018548555,8.48714627006394,6.409146392725942,2.91339540756509e-07,1.0,-0.005970166986503796,0.09097177820572679,0.0,0.0,1.0,0.0,
