FECHA NEGOCIACIÓN;TÍTULO;EMISOR;NÚMERO DE ACCIONES;V. NOM. UNITARIO;PRECIO;VALOR NOMINAL;VALOR EFECTO;CASA COMPRADORA;CASA VENDEDORA;BOLSA
18/01/2019;ACCIONES;BANCO BOLIVARIANO C.A.;4.000.00;1.00;0.9000;4.000.00;3.600.00;MASVALORES;MASVALORES;BVG
18/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;293.00;1.000.00;1000.0000;293.000.00;293.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.210.00;1.00;2.5800;1.210.00;3.121.80;ORION;ORION;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;448.00;1.00;2.6000;448.00;1.164.80;ALBION;MERCAPITAL;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;5.390.00;1.00;2.6500;5.390.00;14.283.50;ANALYTICA SECURITIES;ACCIONES Y VALORES;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;610.00;1.00;2.6500;610.00;1.616.50;ALBION;ACCIONES Y VALORES;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;15.000.00;1.00;2.6500;15.000.00;39.750.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;593.00;1.00;2.7000;593.00;1.601.10;BANRIO;ACCIONES Y VALORES;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;358.00;1.00;2.7200;358.00;973.76;PLUSBURSÁTIL;PLUSBURSÁTIL;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;3.503.00;1.00;2.6800;3.503.00;9.388.04;ORION;ORION;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;961.00;1.00;2.7000;961.00;2.594.70;ALBION;ORION;BVG
21/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.459.00;1.00;2.7000;1.459.00;3.939.30;ALBION;METROVALORES;BVG
22/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.088.00;1.00;2.7000;1.088.00;2.937.60;ADVFIN S.A.;VALUE;BVG
22/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;289.00;1.00;2.6000;289.00;751.40;ORION;SANTA FE;BVG
22/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;500.00;1.00;2.6000;500.00;1.300.00;ORION;SANTA FE;BVG
22/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;2.00;1.000.00;1000.0000;2.000.00;2.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
22/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;4.00;1.000.00;1000.0000;4.000.00;4.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
22/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;500.00;1.00;2.6800;500.00;1.340.00;PLUSVALORES;PICAVAL;BVG
23/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;219.00;1.00;2.7000;219.00;591.30;MERCAPITAL;CITADEL;BVG
23/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;500.00;1.00;2.7000;500.00;1.350.00;MERCAPITAL;PICAVAL;BVG
23/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;6.536.00;1.00;2.6100;6.536.00;17.058.96;SANTA FE;SANTA FE;BVG
23/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;2.021.00;1.00;0.9700;2.021.00;1.960.37;MERCAPITAL;SILVERCROSS;BVG
23/01/2019;ACCIONES;SURPAPELCORP S.A.;100.00;1.00;4.2500;100.00;425.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
23/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;744.00;1.00;2.7000;744.00;2.008.80;MERCAPITAL;SANTA FE;BVG
23/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;219.00;1.00;2.7000;219.00;591.30;MERCAPITAL;SANTA FE;BVG
23/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;2.000.00;1.00;0.9700;2.000.00;1.940.00;PLUSBURSÁTIL;SILVERCROSS;BVG
24/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;50.00;1.000.00;1000.0000;50.000.00;50.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
24/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;2.00;1.000.00;1000.0000;2.000.00;2.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
