empresa,horizonte,window_id,model,kernel,best_cv_f1,best_params,n_train,n_test,accuracy,directional_accuracy,precision,recall,f1
BANCO GUAYAQUIL S.A.,h1,22,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",780,30,0.5666666666666667,0.5666666666666667,0.5714285714285714,0.2857142857142857,0.38095238095238093
BANCO GUAYAQUIL S.A.,h1,22,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",780,30,0.5333333333333333,0.5333333333333333,0.5,0.14285714285714285,0.2222222222222222
BANCO GUAYAQUIL S.A.,h1,22,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",780,30,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,23,baseline_majority,baseline,,,810,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,23,baseline_sign_prev,baseline,,,810,30,0.6333333333333333,0.6333333333333333,0.4,0.4444444444444444,0.42105263157894735
BANCO GUAYAQUIL S.A.,h1,23,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",810,30,0.7666666666666667,0.7666666666666667,0.6666666666666666,0.4444444444444444,0.5333333333333333
BANCO GUAYAQUIL S.A.,h1,23,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",810,30,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.2222222222222222,0.3333333333333333
BANCO GUAYAQUIL S.A.,h1,23,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",810,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,24,baseline_majority,baseline,,,840,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,24,baseline_sign_prev,baseline,,,840,30,0.4666666666666667,0.4666666666666667,0.1111111111111111,0.1111111111111111,0.1111111111111111
BANCO GUAYAQUIL S.A.,h1,24,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",840,30,0.5333333333333333,0.5333333333333333,0.2727272727272727,0.3333333333333333,0.3
BANCO GUAYAQUIL S.A.,h1,24,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",840,30,0.6,0.6,0.2857142857142857,0.2222222222222222,0.25
BANCO GUAYAQUIL S.A.,h1,24,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",840,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,25,baseline_majority,baseline,,,870,30,0.6333333333333333,0.6333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,25,baseline_sign_prev,baseline,,,870,30,0.4666666666666667,0.4666666666666667,0.2727272727272727,0.2727272727272727,0.2727272727272727
BANCO GUAYAQUIL S.A.,h1,25,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",870,30,0.5666666666666667,0.5666666666666667,0.4,0.36363636363636365,0.38095238095238093
BANCO GUAYAQUIL S.A.,h1,25,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",870,30,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,25,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",870,30,0.6333333333333333,0.6333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,26,baseline_majority,baseline,,,900,30,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0
